# BEAST v10.5.0
# Generated Wed May 20 15:37:16 CEST 2026 [seed=1779284235057]
# -beagle -overwrite X_dist_04.xml
state	joint	prior	likelihood	rootHeight	treeLength	tmrca(untitled0)	constant.popSize	kappa	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-15524.014075536996	-21.449993015335338	-15502.56408252166	2.13094938765615	7.957630519842675	2.13094938765615	1.0	2.0	0.5	1.0	1.0	-15502.56408252166	0.0	-12.362693521278084
1000	-11196.81001282221	-9.610491813709519	-11187.1995210085	1.7888128268782901	3.788484308646011	1.7888128268782901	0.3946364549590789	6.380653709460748	0.10796020261324724	1.0	1.0	-11187.1995210085	0.0	-0.8737625833015191
2000	-11115.173470406638	-12.345078057393764	-11102.828392349245	1.9877142417564586	4.153301142779141	1.9877142417564586	1.1270057716917208	4.504996607395958	0.09408853941062464	1.0	1.0	-11102.828392349245	0.0	-3.0864520040346224
3000	-11090.253614565021	-4.12849280439157	-11086.12512176063	0.5123636577026954	1.19685456511029	0.5123636577026954	0.21666423316334424	5.264763704052011	0.15169188612541468	1.0	1.0	-11086.12512176063	0.0	3.8111184723774887
4000	-11054.22679258699	-4.017442362377274	-11050.209350224612	0.3421231011214725	0.8364079322601209	0.3421231011214725	0.32308261189500387	3.68405012789645	0.21765121186018957	1.0	1.0	-11050.209350224612	0.0	3.9860756327923625
5000	-11004.257302641112	-3.705610794684164	-11000.551691846427	0.2632050311805879	0.6631102137780622	0.2632050311805879	0.32864011572133484	3.4555147411831926	0.27770297709773806	1.0	1.0	-11000.551691846427	0.0	4.359865178647995
6000	-10953.512844428955	-0.0628491993160658	-10953.44999522964	0.2905594858491015	0.6970999029450371	0.2905594858491015	0.10920807688027141	3.3664072134710277	0.22485549615322167	1.0	1.0	-10953.44999522964	0.0	6.766186503431367
7000	-10958.607201192464	-3.71313176840661	-10954.894069424057	0.2684691630252153	0.6529192572972646	0.2684691630252153	0.32205261295751797	4.534561366730684	0.27089766478224503	1.0	1.0	-10954.894069424057	0.0	4.65562529499851
8000	-10944.786115361117	0.12287457250039413	-10944.908989933618	0.25270297221693583	0.6171849182124098	0.25270297221693583	0.07240510242048175	3.974872422172783	0.21207249875305736	1.0	1.0	-10944.908989933618	0.0	6.713459357220164
9000	-10940.388235239496	-0.7174335521139019	-10939.670801687382	0.21386099173927803	0.5352885647865584	0.21386099173927803	0.19870714422275437	3.0673867430240507	0.2731204238635636	1.0	1.0	-10939.670801687382	0.0	6.703217923836443
10000	-10938.82574276351	0.8880306344663591	-10939.713773397978	0.23778984101421724	0.5831462633364368	0.23778984101421724	0.09623284357680897	3.2738651516696504	0.2544952172258268	1.0	1.0	-10939.713773397978	0.0	7.618533853820589
11000	-10938.459638141103	0.8276903628033372	-10939.287328503906	0.21950730707569902	0.5479458293348538	0.21950730707569902	0.0932924583853836	3.608654408115536	0.29149244624306947	1.0	1.0	-10939.287328503906	0.0	7.713170249156409
12000	-10939.235643865472	1.365537082455253	-10940.601180947926	0.21580669786729864	0.5354573598293138	0.21580669786729864	0.09111940210034943	3.1509296406430254	0.2533470774944909	1.0	1.0	-10940.601180947926	0.0	7.9968331573733185
13000	-10937.439401600488	1.1105459617764382	-10938.549947562264	0.21306822475313048	0.5297380234134749	0.21306822475313048	0.08255928750666021	3.9345068821524842	0.2914663606991935	1.0	1.0	-10938.549947562264	0.0	7.978381211441642
14000	-10935.177730222082	0.6612512274518609	-10935.838981449533	0.2140044576154918	0.5300262507651357	0.2140044576154918	0.13058588835856583	3.501900122714179	0.2990224704928789	1.0	1.0	-10935.838981449533	0.0	7.862598027091421
15000	-10911.042004656336	1.0074884358881144	-10912.049493092223	0.2140044576154918	0.519433623401707	0.2140044576154918	0.12897267262119663	3.162109139903553	0.3145132316004802	1.0	1.0	-10912.049493092223	0.0	8.11211754803561
16000	-10912.126542570588	-0.10027606673116907	-10912.026266503857	0.19319633520022667	0.4778173785711767	0.19319633520022667	0.03699606255515828	3.327248617980812	0.29944374951853925	1.0	1.0	-10912.026266503857	0.0	5.783244974637832
17000	-10905.35086941521	2.091849070104555	-10907.442718485314	0.19464718789990682	0.47398102523096197	0.19464718789990682	0.07567045063969957	3.2928779361100733	0.42174167519760947	1.0	1.0	-10907.442718485314	0.0	8.923172639862791
18000	-10904.75261941507	1.291197367727408	-10906.043816782798	0.18194279343128505	0.4466303672411559	0.18194279343128505	0.12052187927120057	3.351391746159778	0.47301573673083497	1.0	1.0	-10906.043816782798	0.0	8.709966785629742
19000	-10896.578805997857	1.0088198723268356	-10897.587625870183	0.18194279343128505	0.44154806149105674	0.18194279343128505	0.03494359151581531	3.123024186675564	0.3815894205843845	1.0	1.0	-10897.587625870183	0.0	6.929355958971673
20000	-10898.741147665134	1.0811522862960583	-10899.822299951431	0.18386127450962686	0.44382431151122814	0.18386127450962686	0.1517025913481982	2.7303438737098196	0.3638365655677134	1.0	1.0	-10899.822299951431	0.0	8.292485022608773
21000	-10897.804503635332	2.9946501440924287	-10900.799153779424	0.1632406343388813	0.402583031169737	0.1632406343388813	0.05778981171133566	3.2047060774435234	0.42260995328471684	1.0	1.0	-10900.799153779424	0.0	9.528149877815343
22000	-10895.864980161836	2.8050250709602746	-10898.670005232796	0.17313828022276145	0.4223678145017081	0.17313828022276145	0.05044787636313812	3.181100692709004	0.3481175930211011	1.0	1.0	-10898.670005232796	0.0	9.04564223611727
23000	-10894.496381183211	2.822424871697237	-10897.31880605491	0.1728245024639182	0.42069285970000636	0.1728245024639182	0.0840403463182091	3.074943188119108	0.3662633571487355	1.0	1.0	-10897.31880605491	0.0	9.57222562644625
24000	-10894.932080579603	2.2124581726067785	-10897.14453875221	0.16677975493363356	0.4075993391121515	0.16677975493363356	0.10635248734792088	3.3316925838343905	0.4142280291620166	1.0	1.0	-10897.14453875221	0.0	9.38201660838496
25000	-10890.256681431227	3.2920592089258953	-10893.548740640153	0.18058373575179565	0.4333889614785464	0.18058373575179565	0.0641837554361049	2.9197366971662064	0.3046191170764467	1.0	1.0	-10893.548740640153	0.0	9.59425310551259
26000	-10890.48093945396	2.4075751123139977	-10892.888514566275	0.18751416088305425	0.44823831962068517	0.18751416088305425	0.09452100141064276	3.399056653720435	0.3542355879706058	1.0	1.0	-10892.888514566275	0.0	9.362070418503984
27000	-10889.309255054906	2.7658457704361377	-10892.075100825343	0.18655341478166854	0.44631682741791373	0.18655341478166854	0.07969705032160838	3.2713731656456027	0.3541396510560666	1.0	1.0	-10892.075100825343	0.0	9.506419815742495
28000	-10890.675403669058	1.8905101134951927	-10892.565913782553	0.1896254334691724	0.45246086479292147	0.1896254334691724	0.12445563242288711	2.9907511350072773	0.28822232045526286	1.0	1.0	-10892.565913782553	0.0	8.846823121543132
29000	-10890.057787605563	2.7745345928026044	-10892.832322198366	0.18211335650516233	0.4374367108649013	0.18211335650516233	0.05157591506511963	3.4161681775286055	0.34529174154924897	1.0	1.0	-10892.832322198366	0.0	9.111685698969108
30000	-10890.174213345837	1.8824898489315824	-10892.056703194768	0.20150662496013705	0.4760598127787496	0.20150662496013705	0.11739376506743829	3.3048666841796366	0.28498849185508635	1.0	1.0	-10892.056703194768	0.0	8.883140133758982
31000	-10890.658501510725	2.9392943380857304	-10893.597795848811	0.17556466939489537	0.42417590164826624	0.17556466939489537	0.05703863759091875	3.3036001230996805	0.4096782281282161	1.0	1.0	-10893.597795848811	0.0	9.467749435888713
32000	-10890.034337191995	2.679451972729148	-10892.713789164725	0.17511648970989688	0.42327954227826925	0.17511648970989688	0.09369034182860311	2.917350201895137	0.38207473080552146	1.0	1.0	-10892.713789164725	0.0	9.513598417350327
33000	-10889.659675913592	2.9102017655843024	-10892.569877679176	0.18000856737097023	0.43305068768731414	0.18000856737097023	0.08159676967201328	3.309235557561418	0.3044293570105389	1.0	1.0	-10892.569877679176	0.0	9.587804446620051
34000	-10889.35936228349	3.0049125979141094	-10892.364274881405	0.188342608028189	0.44851047786450154	0.188342608028189	0.07191866414334123	3.0756694796935897	0.33511633710412464	1.0	1.0	-10892.364274881405	0.0	9.537056592228085
35000	-10893.190188689983	-0.3082569163757718	-10892.881931773607	0.2137892178308791	0.4994036974698818	0.2137892178308791	0.20208385192737874	3.5959063530881856	0.23983137923036513	1.0	1.0	-10892.881931773607	0.0	7.242003528060966
36000	-10889.769128085474	1.9953016048287244	-10891.764429690304	0.19968759722357898	0.4712004562552815	0.19968759722357898	0.11251668961945907	3.254581424202682	0.32089860162505646	1.0	1.0	-10891.764429690304	0.0	9.008202815984891
37000	-10896.87748835095	1.6140926610738706	-10898.491581012024	0.20955917361857523	0.4909436090452741	0.20955917361857523	0.13804709069757773	2.6021671269384163	0.25595454076584445	1.0	1.0	-10898.491581012024	0.0	8.467935541664966
38000	-10886.834716382606	2.4824939883864134	-10889.317210370991	0.18578616347903013	0.44107997489595274	0.18578616347903013	0.03997392564442726	3.0765900689899355	0.31493394412463555	1.0	1.0	-10889.317210370991	0.0	8.387843083186066
39000	-10887.975558820433	3.0674956311068193	-10891.04305445154	0.17760354683084795	0.42471474159958844	0.17760354683084795	0.07228954686995731	3.4979686372290866	0.37669405521813265	1.0	1.0	-10891.04305445154	0.0	9.83206203169356
40000	-10886.180337140657	2.6606053079322525	-10888.840942448589	0.1842216232959628	0.43836829617376977	0.1842216232959628	0.04272765008157537	3.230039842476169	0.3121745211834385	1.0	1.0	-10888.840942448589	0.0	8.68027836819859
41000	-10888.196733968103	3.472891026191638	-10891.669624994294	0.171272528649257	0.412470106880358	0.171272528649257	0.05455145507980255	3.1562947298980375	0.2919617629466836	1.0	1.0	-10891.669624994294	0.0	9.6707295511087
42000	-10887.208837255108	2.9195794786269804	-10890.128416733734	0.171272528649257	0.4128282297588078	0.171272528649257	0.09270148574743436	3.117388616547469	0.3169988504324558	1.0	1.0	-10890.128416733734	0.0	9.68370038708694
43000	-10890.47893953549	2.493835813326153	-10892.972775348815	0.2254671448485815	0.5199534524757387	0.2254671448485815	0.06052813042584861	3.959461998109969	0.2680109468049793	1.0	1.0	-10892.972775348815	0.0	9.012471878043808
44000	-10890.547997720378	2.4800206683223065	-10893.0280183887	0.2254671448485815	0.521206637770963	0.2254671448485815	0.08523493824276014	3.434278486907078	0.27141862686144286	1.0	1.0	-10893.0280183887	0.0	9.177383052352333
45000	-10888.28648390734	2.772613277370642	-10891.059097184712	0.20063946780430228	0.4715512836824045	0.20063946780430228	0.0794215446225391	3.5825189494490495	0.29923282308289484	1.0	1.0	-10891.059097184712	0.0	9.504181450456738
46000	-10890.837564524649	2.4020681496959275	-10893.239632674346	0.20063946780430228	0.47423389057531823	0.20063946780430228	0.08814100531161592	3.6800216553396408	0.30103399984786744	1.0	1.0	-10893.239632674346	0.0	9.273138979556103
47000	-10890.079295116693	3.0186150359645847	-10893.097910152657	0.18534561337897373	0.4436461817246612	0.18534561337897373	0.05463019272334358	2.790193315711719	0.33425000812698336	1.0	1.0	-10893.097910152657	0.0	9.172258878027348
48000	-10891.247547222745	2.968209321625338	-10894.21575654437	0.17476162302721818	0.42247820102115	0.17476162302721818	0.0764571401477711	3.5344280316869017	0.3037472368149539	1.0	1.0	-10894.21575654437	0.0	9.654958002333188
49000	-10891.528804623624	1.608009947147357	-10893.136814570771	0.16826036981682915	0.409475694600372	0.16826036981682915	0.13248523781228683	2.984370752399108	0.39907201935190445	1.0	1.0	-10893.136814570771	0.0	8.846225045654455
50000	-10891.274362646007	1.0662137394700402	-10892.340576385477	0.18978346070472596	0.4525218763761656	0.18978346070472596	0.14989619764048395	3.438213546726566	0.2784375515418108	1.0	1.0	-10892.340576385477	0.0	8.342962658451324
51000	-10888.6849011664	2.801041669665456	-10891.485942836065	0.21996246173703662	0.5047746115552052	0.21996246173703662	0.07803558997335638	3.488246066735418	0.3006380437030501	1.0	1.0	-10891.485942836065	0.0	9.486680666703847
